#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
128,Berke Buyuktuncel,TOF,26,17.5,5.8,2.1,4.3,.478,0.5,1.7,.302,1.2,1.6,.732,0.7,2.0,2.7,0.6,0.4,0.5,1.1,2.0,2023
129,Muhsin Yasar,GAZ,29,12.9,5.8,2.4,3.7,.654,0.0,0.0,.000,1.0,1.4,.683,1.0,1.7,2.8,0.4,0.3,0.3,0.6,2.8,2023
130,Ahmet Duverioglu,BURS,18,17.9,5.8,2.2,3.9,.557,0.0,0.0,.000,1.4,2.1,.684,1.7,4.1,5.7,1.2,0.6,0.9,1.5,2.2,2023
131,Tayfun Erulku,DEM,30,15.3,5.7,1.6,4.3,.377,0.7,2.0,.333,1.7,2.0,.852,0.5,1.6,2.1,2.2,0.7,0.0,1.7,2.1,2023
132,Ridvan Oncel,TUR,37,16.4,5.6,2.2,5.0,.451,0.6,2.3,.286,0.5,0.9,.559,0.4,1.6,1.9,2.2,1.0,0.1,1.3,2.0,2023
133,Tonye Jekiri,FEN,10,18.4,5.6,2.5,4.1,.610,0.0,0.0,.000,0.6,0.9,.667,1.6,3.9,5.5,1.0,0.5,0.2,0.9,2.0,2023
134,Can Altintig,TOR,12,18.2,5.6,2.3,5.6,.418,0.6,2.2,.269,0.3,0.7,.500,0.3,0.9,1.2,2.1,0.2,0.0,1.4,1.7,2023
135,Arca Tuluoglu,MERK,30,18.5,5.4,2.1,5.0,.413,0.4,1.6,.277,0.9,1.6,.553,0.3,1.8,2.1,4.1,0.4,0.0,1.4,2.5,2023
136,James Gist,BAHC,20,19.8,5.4,1.9,4.6,.407,0.5,1.1,.409,1.2,1.7,.727,0.9,1.8,2.6,1.0,0.6,0.7,1.0,1.6,2023
137,Burak Yildizli,BES,30,17.5,5.3,1.9,4.4,.443,0.4,1.3,.289,1.1,1.5,.696,1.2,2.9,4.1,1.1,0.2,0.0,0.9,2.1,2023
138,Tarik Biberovic,FEN,24,14.6,5.3,1.8,4.7,.393,1.0,2.9,.348,0.6,0.7,.882,0.7,1.8,2.5,0.5,0.4,0.1,0.8,2.0,2023
139,Jaka Blazic,BAHC,13,13.2,5.2,1.6,4.9,.328,0.8,3.2,.238,1.2,1.5,.842,0.5,1.7,2.2,1.0,0.8,0.0,0.7,1.3,2023
140,Langston Hall,BAHC,23,23.1,5.2,1.9,4.3,.449,0.7,1.8,.405,0.6,0.7,.824,0.5,1.5,2.0,4.3,0.7,0.2,1.6,2.5,2023
141,Muhammet Senli,MERK,24,12.4,5.0,1.9,4.0,.479,0.2,0.7,.235,1.0,1.3,.806,1.5,1.5,3.0,0.4,0.3,0.3,0.7,2.1,2023
142,Ismet Akpinar,FEN,22,11.3,5.0,1.5,3.9,.400,1.2,3.0,.388,0.7,0.9,.789,0.1,0.5,0.6,1.7,0.0,0.0,0.4,1.5,2023
143,Dorukhan Engindeniz,SOC,30,14.2,4.8,1.6,4.5,.351,1.1,3.5,.327,0.4,0.5,.813,0.2,0.5,0.8,0.6,0.2,0.0,0.7,1.6,2023
144,Mustafa Gorur,MANI,29,14.6,4.6,1.5,3.1,.484,1.1,2.5,.444,0.4,0.4,.923,0.1,1.9,2.1,0.6,0.4,0.2,0.4,2.2,2023
145,Berkay Candan,BAHC,28,14.7,4.5,1.6,4.0,.414,0.9,2.4,.353,0.4,0.6,.688,0.7,1.5,2.3,0.6,0.5,0.2,0.2,1.9,2023
146,Can Ogut,GAZ,26,16.6,4.3,1.4,3.5,.407,0.9,2.5,.354,0.5,0.7,.778,0.2,0.9,1.1,3.1,0.6,0.0,1.0,2.2,2023
147,Berkan Durmaz,PIN,38,14.3,4.2,1.5,4.1,.377,0.3,1.8,.176,0.8,1.2,.681,1.1,2.5,3.6,0.6,0.4,0.5,0.6,2.1,2023
148,Enes Taskiran,BURS,17,13.4,4.0,1.4,2.7,.522,0.9,1.9,.455,0.3,0.4,.833,0.5,0.8,1.2,0.8,0.6,0.1,0.5,1.5,2023
149,Thomas Akyazili,PIN,34,13.8,3.9,1.5,3.4,.431,0.6,2.1,.296,0.4,0.6,.684,0.6,0.9,1.6,0.8,0.7,0.0,0.4,2.9,2023
150,Metin Turen,GAZ,24,15.8,3.9,1.3,3.2,.403,0.8,2.2,.385,0.5,0.7,.706,0.8,2.4,3.2,0.8,0.2,0.3,0.2,1.4,2023
151,Emre Tanisan,TOF,23,11.9,3.9,1.5,3.3,.461,0.7,2.0,.370,0.1,0.2,.500,0.7,1.9,2.6,0.3,0.1,0.1,0.2,1.7,2023
152,Gani Erdi Gulaslan,MANI,26,19.3,3.8,1.2,3.7,.330,0.4,1.9,.200,1.0,1.3,.765,0.8,1.7,2.5,0.8,0.8,0.1,0.8,1.9,2023
153,Altan Erol,MERK,27,12.9,3.8,1.1,2.2,.517,0.6,1.2,.531,0.9,1.0,.852,0.6,1.1,1.7,0.5,0.4,0.0,0.5,2.0,2023
154,Metehan Akyel,DEM,29,13.5,3.8,1.4,2.7,.545,0.0,0.1,.000,0.9,2.1,.417,0.9,1.8,2.7,0.6,0.2,0.3,0.8,2.5,2023
155,Yunus Sonsirma,GAL,16,16.4,3.6,1.1,3.3,.321,0.8,2.3,.324,0.8,1.1,.667,0.8,1.2,1.9,1.6,0.4,0.0,0.8,2.0,2023
156,Erkin Senel,TOR,26,10.7,3.5,1.3,2.1,.618,0.5,1.1,.464,0.3,0.6,.563,0.3,0.6,0.9,0.5,0.4,0.0,0.2,2.0,2023
157,Samet Geyik,FEN,31,10.6,3.4,1.4,2.4,.595,0.2,0.6,.389,0.4,0.6,.611,1.0,1.4,2.4,0.5,0.4,0.2,0.3,1.7,2023
158,Furkan Haltali,EFE,26,11.6,3.4,1.5,2.2,.667,0.0,0.0,.000,0.5,0.9,.500,0.6,1.2,1.8,0.5,0.5,0.3,0.8,2.4,2023
159,Egemen Guven,EFE,11,7.1,3.4,1.4,2.2,.625,0.1,0.2,.500,0.5,0.6,.857,0.4,1.0,1.4,0.3,0.3,0.2,0.3,1.2,2023
160,Berk Demir,TUR,30,13.3,3.2,1.2,3.1,.394,0.6,2.0,.279,0.2,0.3,.667,0.7,1.6,2.3,1.0,0.3,0.4,0.4,1.5,2023
161,Ramazan Tekin,TOR,27,9.7,3.2,1.4,1.9,.725,0.0,0.0,.000,0.5,0.9,.565,1.2,0.9,2.1,0.6,0.1,0.2,0.7,1.7,2023
162,Omer Ilyasoglu,BES,15,7.5,3.2,0.7,2.5,.289,0.6,1.7,.346,1.1,1.5,.739,0.2,0.4,0.6,1.3,0.5,0.0,0.4,0.9,2023
163,Mustafa Kurtuldum,TOF,11,12.0,3.2,1.1,2.9,.375,0.8,1.9,.429,0.2,0.2,1.000,0.5,1.4,1.8,1.6,0.2,0.0,0.5,2.2,2023
164,Omer Al,BURS,31,10.9,3.2,1.1,2.9,.367,0.5,1.8,.250,0.6,0.7,.818,0.2,0.2,0.4,1.6,0.2,0.0,0.7,1.5,2023
165,Egehan Arna,EFE,32,13.0,3.2,1.1,2.8,.400,0.6,1.7,.377,0.3,0.4,.692,0.5,1.7,2.2,0.7,0.3,0.1,0.3,1.4,2023
166,Hadi Ozdemir,BAHC,23,11.9,3.1,1.2,2.5,.466,0.2,0.9,.238,0.5,0.8,.632,0.7,1.8,2.5,0.7,0.4,0.1,0.4,1.9,2023
