#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
114,Sitapha Savane,EST,31,17.6,5.5,2.1,2.9,.711,0.0,0.0,.000,1.4,2.1,.646,1.2,1.8,2.9,0.6,0.5,0.7,0.9,2.0,2017
115,Dejan Todorovic,BBB,31,17.2,5.4,1.8,4.4,.416,0.9,2.4,.373,0.8,1.2,.694,0.6,1.5,2.1,0.8,0.8,0.1,1.3,1.6,2017
116,Sam Van Rossom,VAL,28,15.1,5.4,1.8,4.5,.397,1.1,2.9,.375,0.7,0.9,.833,0.1,1.2,1.4,2.1,0.4,0.0,1.2,0.9,2017
117,Jordi Grimau,EST,27,15.4,5.3,1.8,4.5,.405,0.6,2.0,.296,1.1,1.2,.909,0.5,1.3,1.8,0.5,0.4,0.0,0.6,1.6,2017
118,Luka Rupnik,MON,26,17.4,5.2,1.6,4.7,.344,0.7,2.8,.260,1.2,1.8,.696,0.4,1.2,1.6,3.3,1.0,0.0,2.1,1.8,2017
119,Victor Claver,FCB,32,20.8,5.2,2.0,4.1,.477,0.9,2.2,.414,0.3,0.6,.611,0.8,3.3,4.2,1.2,1.0,0.5,1.5,2.2,2017
120,Jeffery Taylor,RMB,36,15.2,5.1,1.9,3.6,.523,0.7,1.7,.419,0.6,1.1,.525,0.6,1.0,1.6,0.7,0.6,0.2,0.7,2.4,2017
121,Alberto Diaz,UNI,38,18.7,4.6,1.4,3.5,.396,0.9,2.2,.412,0.9,1.3,.667,0.8,1.4,2.2,2.5,0.9,0.0,0.7,2.4,2017
122,Sergi Garcia,ZAR,28,16.3,4.5,1.6,4.3,.383,0.4,2.0,.196,0.9,1.3,.667,0.3,1.0,1.3,2.3,0.7,0.1,1.5,2.0,2017
123,Jonas Maciulis,RMB,37,16.3,4.5,1.6,4.1,.407,0.6,1.9,.292,0.6,0.7,.852,0.7,1.7,2.4,0.8,0.7,0.2,0.4,1.7,2017
124,Alfonso Sanchez,BETIS,31,17.4,4.4,1.5,3.7,.391,0.9,2.6,.346,0.5,0.6,.850,0.3,1.3,1.5,0.6,0.4,0.0,1.1,3.2,2017
125,Xavi Rabaseda,GCN,34,17.3,4.3,1.4,3.5,.407,0.5,1.5,.314,1.0,1.1,.872,0.5,1.8,2.2,0.8,1.1,0.2,0.9,2.0,2017
126,Miha Lapornik,BBB,32,14.6,3.9,1.3,3.5,.366,0.8,2.2,.348,0.6,0.8,.741,0.4,0.8,1.2,0.7,0.4,0.0,0.5,1.8,2017
127,Thomas Schreiner,AND,35,17.9,3.9,1.3,4.0,.331,1.0,3.0,.346,0.2,0.2,1.000,0.4,1.2,1.7,2.9,0.6,0.0,1.5,1.5,2017
128,Tobias Borg,BBB,31,17.6,3.6,1.4,3.9,.355,0.4,1.5,.261,0.5,0.5,.824,0.5,1.0,1.5,1.6,0.4,0.1,1.2,2.2,2017
1,Gary Neal,ZAR,29,30.5,20.6,6.4,13.2,.484,2.0,4.6,.425,5.8,6.3,.929,0.2,2.7,2.9,3.2,0.6,0.0,3.0,2.4,2018
2,Sylven Landesberg,EST,30,27.9,20.1,6.2,14.3,.437,2.1,5.8,.354,5.6,7.2,.773,0.7,3.3,4.0,1.9,0.7,0.1,1.5,2.7,2018
3,Matt Thomas,OBR,30,26.7,15.4,5.1,10.8,.472,2.4,5.2,.459,2.8,3.0,.944,0.5,2.0,2.4,2.4,0.8,0.0,1.8,1.9,2018
4,Marko Popovic,MON,32,26.8,15.2,4.6,11.0,.420,3.2,8.3,.387,2.8,3.3,.846,0.4,1.8,2.2,3.0,0.6,0.0,2.0,2.8,2018
5,Tornike Shengelia,BASK,41,23.9,14.9,5.5,10.0,.545,0.9,2.4,.350,3.1,4.4,.717,1.4,3.9,5.4,1.7,1.0,0.3,1.9,2.0,2018
6,Henk Norel,GBC,26,23.8,13.9,5.4,9.4,.578,0.1,0.2,.400,3.0,4.2,.706,3.2,3.6,6.7,1.8,0.4,0.5,1.2,2.1,2018
7,Mateusz Ponitka,TEN,33,25.2,13.7,4.5,8.2,.552,0.5,1.7,.273,4.2,5.3,.784,2.1,3.6,5.6,1.5,0.8,0.2,1.8,1.7,2018
8,Kenny Chery,GBC,31,24.1,13.6,4.7,11.7,.402,1.7,5.4,.325,2.5,2.7,.917,0.8,2.5,3.3,2.2,1.0,0.0,1.7,1.9,2018
9,Jaka Blazic,AND,37,24.6,13.6,4.4,10.4,.425,1.2,3.7,.326,3.5,4.9,.705,0.8,3.5,4.3,1.7,0.9,0.2,1.7,1.8,2018
10,Nemanja Nedovic,UNI,34,21.8,13.5,4.5,10.8,.416,1.9,5.4,.363,2.6,3.1,.846,0.2,1.2,1.4,3.8,0.6,0.1,2.1,1.6,2018
11,Ryan Kelly,BETIS,34,27.8,13.4,4.7,11.2,.417,0.9,3.0,.301,3.1,4.0,.772,1.1,3.5,4.6,1.6,0.7,0.9,1.5,2.3,2018
12,Nobel Boungou Colo,BETIS,9,29.8,13.0,3.6,11.3,.314,1.2,5.7,.216,4.7,5.2,.894,2.1,1.9,4.0,1.0,1.0,0.3,3.0,2.1,2018
13,Thomas Heurtel,FCB,40,24.1,12.8,4.6,9.4,.495,1.4,3.2,.426,2.2,2.7,.798,0.4,1.9,2.3,6.3,1.1,0.0,2.2,2.1,2018
14,Clevin Hannah,MUR,32,25.7,12.8,4.3,9.3,.466,1.9,5.0,.384,2.3,2.5,.889,0.3,2.2,2.5,4.2,0.8,0.0,2.0,1.9,2018
15,Alex Mumbru,BBB,34,23.8,12.6,4.2,9.7,.432,2.0,5.5,.371,2.2,3.1,.698,0.5,3.3,3.8,2.3,0.5,0.2,1.8,2.3,2018
16,Luka Doncic,RMB,37,24.3,12.5,4.2,9.2,.460,1.2,4.2,.293,2.9,3.8,.752,1.0,4.7,5.7,4.7,1.1,0.4,2.2,1.8,2018
17,Jaycee Carroll,RMB,42,17.8,12.1,4.2,7.9,.532,2.2,4.4,.497,1.6,1.9,.859,0.4,1.4,1.9,0.6,0.5,0.1,1.0,1.7,2018
