#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
113,Frederic Bourdillon,ANT,.430,.405,118.8,2.6,9.2,6.0,19.9,20.5,3.0,0.2,16.4,0.9,0.9,89.0,109.1,-20.0,81.3,7.8,2017
114,Remi Lesca,PLV,.487,.476,130.3,2.1,5.8,4.0,16.4,20.0,0.8,0.2,14.9,0.5,1.0,96.9,109.3,-12.4,60.0,6.3,2017
1,Frank Hassell,PORT,.579,.555,178.0,17.2,25.3,21.2,9.1,9.9,1.6,2.0,28.0,-3.0,1.3,116.3,101.7,14.6,409.0,25.1,2018
2,Zachery Peacock,JLB,.638,.605,177.7,6.7,18.7,12.9,15.1,11.0,1.7,1.2,27.2,-1.0,1.5,123.5,111.6,11.9,427.0,24.7,2018
3,Miro Bilan,STR,.632,.592,158.4,14.9,22.1,18.7,16.3,14.4,1.3,1.8,25.4,-1.5,1.5,123.3,105.3,18.0,373.6,24.6,2018
4,Mouphtaou Yarou,ANT,.637,.622,128.1,17.3,24.6,21.1,6.4,10.2,0.9,1.3,19.5,-1.8,1.4,130.2,113.6,16.5,431.4,22.8,2018
5,Gavin Ware,PLV,.645,.610,134.6,9.5,29.4,19.6,9.7,13.6,1.2,1.8,24.6,-3.8,1.5,118.1,105.7,12.3,315.5,22.5,2018
6,Jacques Alingue,DIJ,.682,.694,119.4,12.7,17.7,15.2,13.8,15.9,3.9,3.5,16.2,0.3,1.5,128.5,104.9,23.6,360.8,22.3,2018
7,Louis Labeyrie,STR,.676,.677,177.9,9.8,23.8,17.2,8.2,8.1,1.2,1.9,17.8,0.4,1.6,135.8,104.4,31.3,365.1,21.9,2018
8,Youssou Ndoye,JLB,.664,.615,134.5,10.1,23.4,16.9,5.9,13.8,1.6,3.9,20.6,-3.6,1.7,124.4,109.3,15.2,330.3,21.7,2018
9,Alpha Kaba,LYV,.567,.546,114.6,17.9,26.9,22.5,11.1,14.1,2.2,5.3,18.1,-0.9,1.3,119.5,103.7,15.8,189.1,21.4,2018
10,Youssoupha Fall,LEM,.641,.674,110.6,15.2,23.8,19.7,4.2,15.8,0.8,4.2,22.5,-5.9,1.6,113.4,102.7,10.8,386.6,20.8,2018
11,Ferdinand Prenom,HYT,.639,.620,163.3,12.1,20.1,15.8,13.2,17.7,1.4,0.8,25.5,-5.4,1.4,114.2,116.9,-2.7,196.5,20.8,2018
12,Gerald Robinson,ASM,.635,.596,177.7,1.9,10.3,6.0,19.4,13.9,2.8,0.3,24.7,0.5,1.4,120.3,106.9,13.4,347.3,20.3,2018
13,Taylor Smith,GRV,.627,.656,106.7,8.9,22.1,15.5,12.0,13.7,1.8,7.7,16.4,0.0,1.5,119.0,100.7,18.3,363.6,20.1,2018
14,Ryan Pearson,DIJ,.624,.591,162.5,3.3,12.9,8.0,11.0,9.3,2.7,0.6,23.3,-0.3,1.5,120.1,111.1,9.0,276.1,19.7,2018
15,Elmedin Kikanovic,ASM,.629,.610,192.3,9.7,13.4,11.5,6.9,12.4,1.2,1.7,24.5,-3.6,1.5,118.1,108.9,9.3,348.0,19.6,2018
16,Lamonte Ulmer,RCB,.590,.544,167.1,8.2,10.5,9.4,7.9,9.9,2.4,1.6,22.3,-1.7,1.4,120.1,110.9,9.2,295.8,19.3,2018
17,Chris Evans,ASM,.584,.553,155.9,7.0,16.4,11.6,8.9,9.7,2.7,1.7,23.4,-1.0,1.3,118.3,104.4,13.8,349.5,19.3,2018
18,Vitalis Chikoko,PAU,.593,.579,118.9,14.4,14.9,14.6,12.3,16.2,1.3,2.7,24.1,-3.6,1.4,112.3,114.8,-2.5,226.4,19.3,2018
19,Elie Okobo,PAU,.623,.593,174.2,1.9,11.7,6.7,31.7,20.2,1.9,0.7,25.4,1.3,1.4,113.6,112.9,0.6,343.6,19.0,2018
20,Trae Golden,PORT,.574,.525,166.6,2.7,12.2,7.4,32.7,15.6,1.6,0.1,27.4,2.1,1.3,111.4,106.9,4.5,357.9,19.0,2018
21,Tim Blue,ANT,.593,.570,160.8,3.5,17.9,10.8,17.2,14.9,1.8,2.9,24.7,-1.6,1.3,112.9,110.1,2.9,130.1,18.9,2018
22,Mike Dixon,STR,.535,.484,152.9,3.0,8.0,5.6,30.6,14.8,2.8,0.0,29.9,3.0,1.2,112.5,111.3,1.2,86.4,18.9,2018
23,Amine Noua,LYV,.599,.575,156.2,7.5,18.7,13.3,8.0,10.9,1.6,1.9,22.1,-1.9,1.3,116.3,111.4,4.9,254.3,18.4,2018
24,Zack Wright,STR,.576,.551,148.9,8.8,14.8,11.9,26.9,18.8,3.4,1.2,15.0,6.1,1.3,123.0,103.5,19.5,403.6,18.4,2018
