#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
30,Xavier Rathan-Mayes,WES,43,35.5,16.8,6.4,14.9,.430,1.6,4.7,.338,2.4,3.9,.613,0.9,5.6,6.5,7.1,2.1,0.2,3.1,2.6,2018
31,Trey Davis,MNE,46,25.3,16.7,5.5,13.0,.419,2.0,5.3,.380,3.7,4.3,.864,0.7,2.5,3.2,4.6,1.2,0.1,2.2,2.1,2018
32,Omari Johnson,MHU,44,27.9,16.5,6.1,13.3,.460,3.1,7.4,.418,1.3,1.5,.824,1.6,4.8,6.4,1.6,0.5,0.6,1.6,2.1,2018
33,Jaron Blossomgame,AUS,50,29.6,16.5,7.1,12.9,.547,0.4,1.5,.301,1.9,2.4,.785,2.3,5.7,8.1,1.3,0.8,0.4,1.4,1.8,2018
34,Jarrod Uthoff,FWN,50,32.6,16.5,6.3,13.7,.461,1.8,4.8,.382,2.0,2.4,.820,2.2,6.2,8.4,2.5,0.9,1.1,1.3,2.0,2018
35,Myke Henry,MHU,38,28.3,16.4,5.9,11.8,.502,2.1,5.2,.394,2.4,3.2,.754,0.8,4.3,5.2,2.1,1.6,0.5,2.4,2.8,2018
36,Raphiael Putney,ERI,46,28.8,16.3,6.0,13.1,.457,2.1,6.2,.339,2.3,2.9,.789,1.5,6.7,8.2,1.7,1.2,2.3,2.6,2.6,2018
37,David Stockton,RNO,39,28.2,16.3,5.8,12.8,.449,1.9,4.9,.400,2.8,3.2,.864,0.6,2.6,3.3,5.2,1.7,0.3,2.2,2.6,2018
38,Travis Wear,SBL,34,29.8,16.2,5.8,13.0,.445,2.9,6.9,.421,1.7,2.0,.855,1.0,7.0,8.1,1.9,0.7,0.4,1.2,2.1,2018
39,Brandon Ashley,TEX,45,30.8,16.2,5.8,13.3,.435,1.6,4.9,.327,3.0,4.2,.718,2.0,4.3,6.3,1.5,1.1,1.3,2.1,3.8,2018
40,Melo Trimble,IWA,48,33.4,16.2,5.7,13.0,.438,1.5,4.4,.346,3.2,3.7,.876,0.4,3.2,3.5,5.3,1.0,0.2,3.0,2.2,2018
41,Daniel Hamilton,OKL,45,32.8,16.1,5.4,13.4,.406,1.6,5.6,.283,3.6,4.4,.813,1.8,7.1,9.0,7.8,1.2,0.2,4.9,1.9,2018
42,Luke Kornet,WES,36,32.4,16.0,6.0,12.2,.489,2.5,5.8,.440,1.6,1.9,.812,1.2,4.9,6.1,2.5,0.7,1.7,1.5,2.1,2018
43,J.J. O'Brien,ACC,39,35.2,15.9,5.9,12.2,.482,1.2,3.4,.351,2.9,3.4,.843,0.9,3.8,4.8,3.1,1.2,0.4,1.6,1.4,2018
44,Scott Machado,SBL,46,31.5,15.9,5.5,12.3,.450,1.5,3.8,.405,3.3,3.7,.884,0.5,3.4,3.8,8.5,1.0,0.1,3.1,2.0,2018
45,Damion Lee,SCW,38,29.7,15.8,5.2,11.5,.454,1.3,4.3,.307,4.0,4.3,.915,0.8,4.1,4.9,2.7,1.5,0.2,2.3,2.2,2018
46,Askia Booker,DEL,36,31.8,15.6,5.5,13.4,.409,2.0,6.1,.321,2.7,3.4,.810,0.7,3.3,4.0,6.0,1.6,0.1,3.3,2.4,2018
47,Isaiah Hicks,WES,37,29.5,15.6,6.1,10.6,.577,0.1,0.2,.333,3.3,4.1,.809,2.6,5.2,7.8,1.5,0.8,2.1,2.1,3.9,2018
